time,t_data,ERK_data,NN_approx,NN_GT,R_fit,Ras_fit,Raf_fit,MEK_fit,ERK_fit,NFB_fit,PFB_fit,R_GT,Ras_GT,Raf_GT,MEK_GT,ERK_GT,NFB_GT,PFB_GT
0.0,0.0,0.0010102213929868307,0.002557406277398628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.125,1.25,0.1084743224140692,0.0024769977767887205,0.0,0.05721640887105632,0.060572959353310564,0.01178954878835072,0.00038418739132456376,9.546392421475894e-6,1.9898545196968465e-11,9.278800734485336e-10,0.0572164088710563,0.06057295935331052,0.011538156670976091,0.00036748605097152625,8.872788333473845e-6,1.803707756417656e-11,8.369036625330898e-10
0.25,2.5,0.47978323821116015,0.0023539794006615026,0.0,0.10924485231339429,0.20243269676329523,0.07301103902604139,0.0049435517141214105,0.00023969987015519265,3.734019981660125e-9,9.136236346046127e-8,0.10924485231339426,0.20243269676329517,0.07261581371793413,0.004887882516676076,0.00023534717449513547,3.6421277581448035e-9,8.90016229918594e-8
0.375,3.75,0.7327838788966842,0.002294776797353261,0.0,0.15515979249758427,0.3730801625592103,0.18766770497582033,0.019963377673213514,0.0014367893125389092,6.98374350402632e-8,1.214298717994142e-6,0.15515979249758435,0.3730801625592104,0.18719073517109944,0.019858580062823396,0.0014248799171802677,6.904695965791235e-8,1.1998800407293008e-6
0.5,5.0,0.8165774619799785,0.002214428871094024,0.0,0.19567958499248894,0.5347386602457345,0.3333823447277944,0.049768117526335066,0.004755997521237378,5.05253216268825e-7,7.049916168847987e-6,0.19567958499248933,0.534738660245736,0.33286572214133237,0.04961170287941942,0.004732887864392954,5.018941679026497e-7,7.0008281273968544e-6
0.625,6.25,0.8378192311960369,0.0019663205461715708,0.0,0.23143817636261294,0.6619028742332933,0.4773726074270974,0.09457903698656579,0.011361887823779811,2.1754247228615766e-6,2.6003915918978836e-5,0.23143817636261296,0.6619028742332934,0.47686852694689374,0.0943754005033659,0.011324471978293803,2.1656530288519023e-6,2.5881852716256863e-5
0.75,7.5,0.8404981495475425,0.0015923955416717727,0.0,0.2629950224875356,0.7466804345663222,0.5924955347915536,0.1506443115913064,0.022095434947700294,6.7593605801080405e-6,7.20613734549207e-5,0.2629950224875356,0.7466804345663222,0.5920589333810389,0.1504048211470486,0.022041261962624386,6.736883927427349e-6,7.181160351805815e-5
0.875,8.75,0.8411856915022702,0.0012320633306445743,0.0,0.2908438414481185,0.796978499643815,0.6696380734567343,0.2123917727799243,0.03735099899494953,1.681072015089439e-5,0.00016418195182889766,0.29084384144811853,0.7969784996438151,0.6692960253294009,0.2121316576525456,0.037278449187918575,1.6766657085059844e-5,0.00016373454342977803
1.0,10.0,0.8396821778406428,0.0009428962408459396,0.0,0.3154203379214721,0.8258477145196225,0.7151798975021055,0.2748969731362389,0.05713930512504235,3.5623184000368437e-5,0.0003247608728612499,0.31542033792147206,0.8258477145196225,0.7149271711767122,0.2746305276721187,0.05704770937066771,3.554628458638012e-5,0.0003240337439566234
1.125,11.25,0.8362666692407983,0.0007205334153092365,0.0,0.337109019935588,0.8432983555468049,0.7402187393339703,0.33497912685019166,0.08121478486800797,6.698784684689048e-5,0.0005778759073574414,0.33710901993558784,0.8432983555468048,0.7400359444125215,0.334717056967211,0.0811044114057673,6.686501515792605e-5,0.0005767791457320989
