time,t_data,g2p_data,NN1,NN2,g1p_fit,g2p_fit,Xact_fit,g1p_GT,g2p_GT,Xact_GT
0.0,0.0,0.0009023320399436358,0.0016694431577840105,1.0648911013933922,0.0,0.0,0.0,0.0,0.0,0.0
0.125,1.25,0.0728004309484275,0.0012750159103531032,1.0651940890760945,0.0028283580930945364,0.0007939874706448613,1.660266166148573e-6,0.0028405358518664076,0.0007970305701581869,1.665146153037663e-6
0.25,2.5,0.2666066513819996,0.0009375523563552389,1.06553916729087,0.005640696045850529,0.0031281754310874786,1.3124297824126905e-5,0.005680166475845849,0.003149498513689133,1.3194607964118801e-5
0.375,3.75,0.46803851120280265,0.0006626678862012202,1.0659186952140227,0.008447467998076863,0.0069419612368877065,4.3802591614621765e-5,0.008518087025168626,0.007004737209349924,4.4122451317800395e-5
0.5,5.0,0.5462807225401956,0.00045623974194374184,1.0663253129394326,0.01125505514160916,0.012189803182433472,0.00010276155886063193,0.011352318255802298,0.012318996816684706,0.00010366790137427884
0.625,6.25,0.5532771059370462,0.0003244904888969761,1.0667518646703187,0.014065858459861559,0.01884004706582546,0.00019881424039959036,0.014179259474344685,0.01905792239955369,0.0002007929622766892
0.75,7.5,0.5434583166735018,0.00027399627934022937,1.0671912830382393,0.01687830891737457,0.02687218278050557,0.00034059806553334124,0.0169933209255948,0.027195135341737574,0.0003442563693816
0.875,8.75,0.530324255737824,0.0003116294267524063,1.0676364633457749,0.01968683391932834,0.036273068112616824,0.0005366315032139898,0.019786626476726056,0.036709540128169585,0.0005426539371103533
1.0,10.0,0.5136120054192763,0.0004444494756089284,1.0680801530096458,0.02248181807408117,0.04703265727217776,0.0007953449062812062,0.02254878316672193,0.047581977338749595,0.0008044393615839713
1.125,11.25,0.49430888254280825,0.0006795568476068603,1.0685148741722614,0.025249594815579677,0.05913965572687033,0.0011250838882612198,0.025266719160988764,0.05979170414935978,0.0011379230315098764
1.25,12.5,0.47344948412696425,0.0010239212421692667,1.0689328897760548,0.027972502882011793,0.07257738475253624,0.0015340857857509588,0.027924595546636448,0.0733130143006775,0.0015512488893070387
1.375,13.75,0.4528519877683987,0.0014841951237525117,1.0693262169436937,0.03062903788438595,0.0873200274764093,0.002030431183318646,0.030503800125229432,0.08811217041449236,0.0020523508943695217
1.5,15.0,0.4307962116124666,0.0020665215611335125,1.0696866866015122,0.033194124204140724,0.10332935606832815,0.002621973331254939,0.032983032953555744,0.10414473059719384,0.0026488914329156955
1.625,16.25,0.4106601152992121,0.0027763453889164853,1.0700060446980104,0.03563952627225935,0.12055200168497668,0.0033162488033772544,0.035338493962462816,0.12135330338327986,0.003348184385200582
1.75,17.5,0.38765886167055,0.003618236792358941,1.0702760877899715,0.03793441104718305,0.13891731347840025,0.00412037309868993,0.03754418267507665,0.13966574742401283,0.004157105729826251
1.875,18.75,0.3662328629275103,0.004595736528196721,1.0704888239837889,0.04004606549754896,0.15833584959570499,0.005040925191523087,0.03957231895465892,0.15899383235918169,0.005081994683083065
2.0,20.0,0.34361456723873907,0.005711231672521752,1.0706366491446972,0.04194076450352661,0.17869854343828706,0.006083825323916861,0.041393891904133125,0.17923238549155837,0.006128548515305321
2.125,21.25,0.323857616530147,0.006965869717572512,1.0707125279181189,0.04358477629377267,0.19987658719470958,0.007254210613271202,0.042979341522846506,0.2002589588753081,0.007301714383056705
