time,t_data,g2p_data,NN1,NN2,g1p_fit,g2p_fit,Xact_fit,g1p_GT,g2p_GT,Xact_GT
0.0,0.0,0.00156241919568852,0.0016676450302276784,0.9801001061751191,0.0,0.0,0.0,0.0,0.0,0.0
0.125,1.25,0.13214836375645672,0.0013814154930168509,0.9800633894072381,0.005089722883545899,0.0014304948282876802,2.9905625256006884e-6,0.005112425848768648,0.0014345802393287668,2.997124013557306e-6
0.25,2.5,0.4680236413497648,0.0011339646618339354,0.9800264916381206,0.010145003276248324,0.005641149251927764,2.3656236998483974e-5,0.010221929000454542,0.005669603916716707,2.3750283271341345e-5
0.375,3.75,0.7376818249051955,0.0009391555865448862,0.9799904797106496,0.015180711203733327,0.01253244597027801,7.901224752543699e-5,0.015326047850345824,0.012615883236714379,7.943846969828757e-5
0.5,5.0,0.7921962478451141,0.0008123273726322415,0.9799562017015332,0.020204608998971738,0.022035445078950607,0.0001855236579506009,0.020418903058000287,0.02220671912705602,0.0001867281613798335
0.625,6.25,0.7923367729593401,0.0007702839184838864,0.9799242885744104,0.02521695938294679,0.03410759147547723,0.0003592838976576321,0.025490080538298463,0.03439584661611463,0.00036190833490586425
0.75,7.5,0.7797984126352394,0.0008311771629183099,0.9798951306528008,0.03020999637368979,0.0487234964989257,0.0006161483030827984,0.030523806345006555,0.04914969884639799,0.0006209916165277787
0.875,8.75,0.7662686738249898,0.0010142310501094593,0.9798688296627394,0.03516736062481044,0.06586369176847465,0.000971800976714718,0.035498359586551016,0.06643739237945068,0.0009797570785976286
1.0,10.0,0.7489992198070786,0.0013392650301849661,0.9798451296014496,0.04006361339049473,0.08550345300708566,0.0014417495757065102,0.0403857003575775,0.08622081971205846,0.00145372872916695
1.125,11.25,0.72869194789908,0.001825997407858602,0.9798233328737529,0.04486395847707406,0.10760271769312932,0.0020412523374835206,0.04515131043909686,0.10844599035378769,0.0020580947060920775
1.25,12.5,0.7065793159880814,0.0024931411995718937,0.9798022124077321,0.049524310485416737,0.13209742529046198,0.0027851857229191598,0.04975425694027622,0.13303591959343644,0.002807576504783747
1.375,13.75,0.6854586360467372,0.003357350213503568,0.9797799358202551,0.053991841604129724,0.15889232620603028,0.0036878621537025386,0.054147495453695474,0.1598849777064537,0.003716258117553888
1.5,15.0,0.6621104444835682,0.00443212869760303,0.9797540234319657,0.058206110039972295,0.18785528017300332,0.004762807556807593,0.05827843175341694,0.18885452327805682,0.004797384126557473
1.625,16.25,0.6422059007673453,0.005726874580549763,0.9797213664601225,0.06210081565804571,0.21881314043915828,0.006022508890818326,0.06208976109984797,0.21976969550617914,0.006063134905323413
1.75,17.5,0.6173198784341651,0.007246265672889001,0.9796783327599503,0.06560614398161406,0.251549393625538,0.007478142780543184,0.06552060277889202,0.2524173348035012,0.007524386677920125
1.875,18.75,0.5950243810144389,0.008990195581107054,0.9796209825697176,0.06865156025427398,0.2858037429983255,0.009139297606231708,0.06850794507425698,0.2865450928707906,0.009190464354345845
2.0,20.0,0.5704248182741797,0.01095439917338561,0.9795454041407298,0.0711688245993262,0.32127376930376306,0.011013702449603252,0.0709884125369,0.321861866027255,0.011068895713520812
2.125,21.25,0.5504460498793462,0.01313176969955319,0.9794481590933097,0.07309494939842097,0.35761869129907586,0.013106976756992723,0.07290036289207577,0.3580397349028442,0.013165176489715031
2.25,22.5,0.5266917834063917,0.01551418333178194,0.97932680264357,0.07437484059089038,0.39446511265451767,0.015422414167454277,0.07418631451593888,0.3947176186397111,0.015482557070292889
2.375,23.75,0.5020440218082861,0.018094465645401413,0.9791804196378585,0.07496346832096755,0.4314145291757016,0.017960812666658575,0.07479569588241392,0.43150684989461124,0.01802186266014735
2.5,25.0,0.47923430247935,0.02086802836012555,0.9790100996398187,0.07482758216799894,0.4680523207969394,0.02072036134978146,0.07468789372630683,0.4679988418569319,0.020781359715683262
2.625,26.25,0.45789204832001396,0.023833728979609056,0.9788192680428737,0.07394717315218138,0.5039579817723172,0.023696592079647773,0.07383555380850294,0.5037749397592762,0.023756681958156802
2.75,27.5,0.43234695727705946,0.02699367085342596,0.9786137976679975,0.0723170205846039,0.5387164260576147,0.02688240265939874,0.07222805256737946,0.538418413743986,0.02694082903857656
