time,t_data,g2p_data,NN1,NN2,g1p_fit,g2p_fit,Xact_fit,g1p_GT,g2p_GT,Xact_GT
0.0,0.0,0.0019588475991883297,0.002453162881776931,0.07460574071936012,0.0,0.0,0.0,0.0,0.0,0.0
0.125,1.25,0.0787471931630357,0.0018907913157933745,0.07419083190874397,0.0028225586076770447,0.0008026567902429236,1.6738202582705571e-6,0.002840535806745114,0.0008069767023582141,1.680737093796601e-6
0.25,2.5,0.29332976773696895,0.001403563737706293,0.0738300622135062,0.0056215335311523475,0.003196740950861202,1.3339585186163179e-5,0.005680163693788534,0.0032272388676921233,1.3439838218787902e-5
0.375,3.75,0.5114354273104936,0.000996868206431696,0.07352730162891111,0.008412273186278763,0.00716858841795961,4.487745539192047e-5,0.008518056610465003,0.007259004390449646,4.5336121540215725e-5
0.5,5.0,0.6027853275430444,0.0006767510063791429,0.07328689766384199,0.01120474074504745,0.01271174782421591,0.00010609287336009473,0.011352154809917029,0.0128989557381286,0.00010739919317686878
0.625,6.25,0.6336684307590758,0.0004498175603733545,0.07311360763997911,0.014003792275735585,0.019824096418921838,0.00020675148205710503,0.01417866504053104,0.020141363368270125,0.0002096160467455487
0.75,7.5,0.647115324749172,0.0003231247774438711,0.07301252545217689,0.016809292465589584,0.028504925383805824,0.00035659544620632994,0.016991633643521895,0.028976941431673564,0.00036191085163397635
0.875,8.75,0.6587482318632248,0.00030405636227469145,0.07298899664284877,0.01961614339497196,0.03875196429464587,0.0005653408834814487,0.019782592862871196,0.03939148314060008,0.0005741164307833413
1.0,10.0,0.6649207291057495,0.0004001764637118902,0.07304851839222269,0.022414288278650763,0.050558364002084244,0.0008426560995900017,0.022540283828447524,0.051364323996978094,0.0008559362388126263
1.125,11.25,0.6663972027225908,0.0006190598752262899,0.07319662302352589,0.025188743522184073,0.06390968605904412,0.0011981205557967188,0.02525046304556718,0.06486668413961409,0.0012168959772847886
1.25,12.5,0.6646671070855713,0.0009680994305038943,0.0734387453136268,0.027919705962446816,0.07878096418114816,0.001641164878861435,0.027895801717750437,0.07985994614585293,0.0016662843394222434
1.375,13.75,0.6632149593304337,0.0014542936936925758,0.07378007560278498,0.030582776025555324,0.09513391629460846,0.0021809927032347635,0.030455888814047958,0.09629393115607006,0.002213082772290058
1.5,15.0,0.6580009925742012,0.002084020702506051,0.07422540254752161,0.033149330698667726,0.11291439786426045,0.0028264856979119376,0.03290734948340953,0.11410524346194421,0.002865884586511497
1.625,16.25,0.6561433479521143,0.002862806317470639,0.07477895132191292,0.035587072111587285,0.13205019849645722,0.0035860937692266466,0.03522409025959252,0.1332157609669559,0.0036328042329287972
1.75,17.5,0.6470943185696423,0.003795098411837615,0.07544422497748192,0.0378607679679045,0.15244929258481785,0.004467713133108327,0.03737768154486353,0.15353135547584876,0.004521378098099288
1.875,18.75,0.6403664955414057,0.004884060331770832,0.07622385826475146,0.039933189168366,0.1739986588168954,0.005478555689498803,0.03933788615226576,0.17494093191172294,0.0055384587370052914
2.0,20.0,0.629845136969136,0.00613139832708876,0.07711949419390964,0.04176623810036217,0.19656378074808273,0.006625013867481574,0.041073340232406566,0.19731587860109975,0.006690105047913079
2.125,21.25,0.6242348898471671,0.007537237553949233,0.07813169364934386,0.043322248791491026,0.21998893002660763,0.007912525791268039,0.04255238965735718,0.2205100209654481,0.007981471482128872
2.25,22.5,0.6130318489258234,0.009100059405806878,0.07925988719330859,0.04456542812315168,0.244098314563554,0.009345446187421516,0.04374408073633476,0.24436016747901512,0.00941669994653541
2.375,23.75,0.5998711945705629,0.010816709126770777,0.08050237562495212,0.04546339625872714,0.26869814602083375,0.010926928854226603,0.044619298730614494,0.2686873286456744,0.010998818569848131
