time,t_data,g2p_data,NN1,NN2,g1p_fit,g2p_fit,Xact_fit,g1p_GT,g2p_GT,Xact_GT
0.0,0.0,0.002175153959055592,0.018813899838322302,-3.1856249893652753,0.0,0.0,0.0,0.0,0.0,0.0
0.125,1.25,0.09441215982944567,0.02007148454589955,-3.1711100101842935,0.0032112496094951473,0.0009690276545477647,2.017903698753891e-6,0.0034085532453648503,0.0009683480803810856,2.0168492358903844e-6
0.25,2.5,0.346859476066338,0.020832447698155933,-3.1528917694795364,0.0060484179732028485,0.0038770820023235814,1.6142902088383324e-5,0.006815800332015932,0.0038724303747193862,1.6127077219964753e-5
0.375,3.75,0.5865996162190996,0.02111328942285046,-3.1304472638384815,0.008558760479579989,0.008717667986809126,5.4457714018157246e-5,0.010220567958025204,0.008709683170617856,5.4398691335202284e-5
0.5,5.0,0.6739081424602932,0.020935616380811144,-3.10311268909432,0.0108014724584793,0.01546549946243352,0.00012893358879984403,0.013619956748968008,0.015475348660025088,0.0001288607097450823
0.625,6.25,0.7034104807858118,0.020324163725244506,-3.070098515621785,0.0128408547850605,0.024071561382422304,0.0002512919020794638,0.017008667047861838,0.024161248113071923,0.0002514840661713418
0.75,7.5,0.7161422130375984,0.0193053371036687,-3.0304737483131525,0.01474234526157179,0.03446612371448803,0.0004328592863819648,0.020378441094193494,0.0347541981021566,0.0004341530172962544
0.875,8.75,0.7275090458904868,0.017906084876790754,-2.983119415204041,0.01657066399841768,0.046567929313796726,0.0006844622508154153,0.023717617423850205,0.047234142957407924,0.0006886250922847417
1.0,10.0,0.7331618580951241,0.016153376520194183,-2.9266537211632753,0.018389464992379975,0.06029585421049186,0.001016388634899304,0.027010799939777706,0.06157207607563132,0.0010264780977336525
1.125,11.25,0.7338340912762911,0.01407472253402476,-2.859329484846118,0.020261993551746363,0.07557980768343557,0.0014384205608772313,0.030238649112867798,0.07772782592155937,0.0014590431796747112
1.25,12.5,0.731122127825253,0.011700214341492866,-2.778900661487126,0.022252298134853434,0.0923691458577042,0.0019599278470941047,0.03337780621637489,0.09564778890902734,0.0019973234689924088
1.375,13.75,0.7288626176743003,0.009066696212019658,-2.682451926665156,0.024426509247895082,0.11063814830435242,0.002590004318680787,0.03640096349814732,0.11526269975975656,0.0026518984134146547
1.5,15.0,0.7225494464334299,0.006225012095764097,-2.5661869773152057,0.026853518566414047,0.13038863515792282,0.003337628663160111,0.039277093916591836,0.13648553925280912,0.003432814535813236
1.625,16.25,0.7200732607573657,0.003251777910073207,-2.4251836579812855,0.029603971704343545,0.15164959719974158,0.0042118316451153605,0.041971853681493816,0.1592096884456595,0.004349464054783146
1.75,17.5,0.7097119812221828,0.00026754759873047484,-2.253160506611181,0.032745710557786196,0.17447292326916972,0.005221848523588899,0.0444481695014757,0.18330744653453254,0.005410453552095126
1.875,18.75,0.7020213047034981,-0.0025373779052149225,-2.042384863931908,0.036332632793776666,0.19892305634398094,0.006377226186578603,0.04666702024381957,0.20862903563573848,0.006623465658802655
2.0,20.0,0.6902053465318824,-0.00487245447770795,-1.7840203659820908,0.04038280250581294,0.22505692166264013,0.007687836570279699,0.04858841966732378,0.2350022189550658,0.007995117537182437
2.125,21.25,0.6839248991313862,-0.0063273068354627125,-1.469456717560597,0.04484234787101614,0.2528895968170873,0.009163722151409804,0.05017260287292569,0.26223265793929607,0.00953082073192394
2.25,22.5,0.6715115980363345,-0.006402855575719403,-1.0932891392880817,0.04953856356395308,0.2823432255813197,0.010814675849742942,0.05138141383430337,0.29010512767142244,0.011234647715655927
2.375,23.75,0.6569977600335779,-0.004651473918537036,-0.6579983088188412,0.05414379548578959,0.3131854305962781,0.012649466192343656,0.05217988430163069,0.31838569623582896,0.013109211116196904
2.5,25.0,0.6442047075447292,-0.0009357608948207009,-0.17832349409800136,0.05819480111726131,0.3449803580934434,0.014674708271333143,0.05253798471635514,0.346824950943268,0.015155562130148492
2.625,26.25,0.6326328413847884,0.0043437795843803,0.3189658668264361,0.06120559236415717,0.3770898555538422,0.016893576873770307,0.052432514402535976,0.3751623198070286,0.017373114931961014
2.75,27.5,0.6144015790823328,0.010306114684491966,0.8024533396783469,0.06284104611058182,0.40875032038502174,0.019304771310550334,0.05184907973083198,0.4031314881327418,0.019759603899824785
2.875,28.75,0.5990900833251449,0.015967366930259026,1.2465214890409642,0.06303951947829621,0.43920549694798133,0.021902166217670275,0.0507840834347528,0.43046684562372095,0.022311080110656117
3.0,30.0,0.5820112717031399,0.020635361709612082,1.6374630572402766,0.06200081555897437,0.46783540844591054,0.02467531378677582,0.04924661407743588,0.456910818290021,0.02502195271337619
3.125,31.25,0.5674206133243412,0.02404614115683688,1.9727893375419931,0.06007081537212229,0.49422897089246604,0.027610585757561645,0.04726008086828816,0.4822218430434398,0.027885079387086505
3.25,32.5,0.5544232440841257,0.026264425758468643,2.256977488922523,0.057614770694124004,0.518189708467991,0.030692544028104764,0.0448633868762337,0.5061826355415354,0.030891908065939024
3.375,33.75,0.5371706553026901,0.027515351956292185,2.497360552810146,0.05493817830070873,0.5396971148483386,0.03390518273471024,0.04211137910003221,0.5286082917636395,0.034032669445855715
