time,t_data,g2p_data,NN1,NN2,g1p_fit,g2p_fit,Xact_fit,g1p_GT,g2p_GT,Xact_GT
0.0,0.0,0.0023760592403185656,0.0006540798810058545,0.1389396618308102,0.0,0.0,0.0,0.0,0.0,0.0
0.125,1.25,0.11002970116343141,0.0006862684315889744,0.1412518179353204,0.003968391812890783,0.0011262009393033649,2.3474659296504476e-6,0.003976540723422973,0.001129711461569119,2.352949607302219e-6
0.25,2.5,0.39905020804869035,0.0007252164473045433,0.1439416723555933,0.00791874998524509,0.00448959099322702,1.8726568710258275e-5,0.007951305254955614,0.0045175363699557405,1.8814073049563272e-5
0.375,3.75,0.6561296048206681,0.0007726203837299156,0.14707412359461172,0.011850313614863882,0.010066904165563351,6.302025587084117e-5,0.01192271986625721,0.0101599884676636,6.34597097194754e-5
0.5,5.0,0.7382265429001409,0.0008308337249835658,0.15073354125730026,0.015761765400740865,0.017834718837498133,0.00014894605775092823,0.015886925076251966,0.018050616897652277,0.0001503161392333702
0.625,6.25,0.7662527430499992,0.000903084457847464,0.15502467740129158,0.01965107439949134,0.02776942644769994,0.00029005322584709295,0.019836916824742538,0.02817838124107188,0.0002933338498811879
0.75,7.5,0.7779178023558202,0.0009937862715137741,0.16007336249862839,0.023515262216454155,0.039846533168493514,0.0004997166578853048,0.02376185649541837,0.04052557526883699,0.0005063492697385144
0.875,8.75,0.788694636030898,0.0011089820153698097,0.16602663007074553,0.02735006478082641,0.05403943997101674,0.0007911239076663905,0.027646539576670657,0.055065403565823415,0.0008030315281345275
1.0,10.0,0.7935841767068793,0.0012569695364551992,0.1730516664126296,0.031149448477843854,0.070317847054458,0.0011772525630619366,0.031471022724904006,0.07175931203551025,0.0011968124832590057
1.125,11.25,0.7932837530759588,0.001449169256045701,0.181332645791032,0.03490492245693626,0.08864584238045609,0.0016708359618861001,0.0352104161204298,0.09055417606929583,0.0017007989280067512
1.25,12.5,0.7894828539517628,0.001701290868851823,0.19106411835184883,0.03860456977996871,0.10897962550436918,0.0022843152729447665,0.03883485264483863,0.11137945752431956,0.0023276666037324225
1.375,13.75,0.7863401417735452,0.0020348245964485747,0.20243927505731255,0.04223170405276678,0.1312647236593789,0.0030297753930308307,0.04230964796860847,0.13414445183504192,0.0030895364322614596
1.5,15.0,0.7789120932079256,0.002478786903752855,0.2156313562849304,0.04576305872659531,0.15543248961707487,0.0039188610404402606,0.04559566651676695,0.15873575796495867,0.00399783423007577
1.625,16.25,0.7758031202486471,0.0030714435190681497,0.23076709527580339,0.04916646062820553,0.181395639687517,0.0049626680611159395,0.04864990782959426,0.18501511517951255,0.005063136094333935
1.75,17.5,0.7641970325191906,0.003861372342101265,0.24789289455866148,0.052398072676103205,0.20904262136108104,0.006171603605893474,0.0514263263225177,0.21281776070070976,0.006295002638745567
1.875,18.75,0.7556153135399879,0.004906744534906789,0.26693775269940134,0.05539956851112725,0.2382307478892447,0.007555208036239086,0.053876895021539944,0.2419514701160812,0.007701806290740508
2.0,20.0,0.742626643617474,0.00627130974798019,0.2876813865852743,0.05809605096703285,0.2687783795502467,0.009121932133844475,0.05595292049217226,0.2721964466860757,0.009290556913942176
2.125,21.25,0.7357773248100347,0.008015764579880806,0.3097397502559811,0.06039606158222978,0.3004570311625753,0.01087886684770551,0.05760661166310603,0.30330622473073043,0.011066732055853089
2.25,22.5,0.7223150966386583,0.010184571216555817,0.33258009974321123,0.06219535500806332,0.33298510034521916,0.012831430925272924,0.058792899067269325,0.33500974375188386,0.013034119091564407
2.375,23.75,0.7066389832412933,0.012790959164334103,0.3555710761976617,0.06338574693775814,0.36602568008141634,0.014983034922684473,0.05947149231837748,0.3670147307244993,0.015194677375748181
2.5,25.0,0.6929178186210321,0.015805542821655773,0.3780606154751353,0.06386892378444314,0.3991911419704802,0.01733475642415232,0.05960915107669597,0.39901249405729583,0.017548429142562143
2.625,26.25,0.6806006165417691,0.019154372950930247,0.39946177656633697,0.06357290917092168,0.43205633682619055,0.019885075617407284,0.05918212640794894,0.430684179360512,0.020093388198056613
2.75,27.5,0.6610738045614054,0.022728888095411407,0.4193220276814554,0.06246704463466747,0.464180271250254,0.022629725450641992,0.05817870270111726,0.4617084595346502,0.022825535299195513
2.875,28.75,0.6447962888980312,0.026404749269293076,0.43735877355279107,0.060571160549849054,0.49513362865256044,0.025561701048515892,0.056601731976162896,0.49177052606727967,0.02573884835450939
3.0,30.0,0.6266431033166951,0.030062698570047126,0.4534582568608531,0.05795641307220301,0.5245276256768739,0.028671449407222608,0.05447099915455717,0.5205721140688551,0.02882539405433365
3.125,31.25,0.6112578358637959,0.03360480434627047,0.46764748333818723,0.05473801213774125,0.552039282783392,0.03194722967226721,0.05182518659397306,0.5478421352466449,0.03207548510494331
3.25,32.5,0.5976580602235759,0.03696279204474804,0.4800537563608397,0.05106225702272269,0.5774292846603736,0.035375606394010994,0.048723120947093586,0.5733473233045736,0.03547790382369181
3.375,33.75,0.5794501836893104,0.040098838592703766,0.4908642257750069,0.047091106333020445,0.6005505509276151,0.03894202062168851,0.04524389647706028,0.5969021367539974,0.03902018848609584
3.5,35.0,0.5624584826444238,0.04300128845717395,0.500292533238509,0.04298711360351457,0.6213476024106538,0.0426313790391841,0.04148540407177955,0.6183770442555196,0.04268897369476785
3.625,36.25,0.546062715931964,0.045678043284439036,0.5085547503186696,0.03890062504548009,0.6398482466256135,0.04642860758468095,0.03756080512852687,0.6377042711441032,0.0464703705481281
3.75,37.5,0.526866739986083,0.04814967835359499,0.5158538635903692,0.03496022666157613,0.6561498588936614,0.050319128994939004,0.03359264641995409,0.6548801465799596,0.050350367101862414
3.875,38.75,0.5069058639321129,0.05044344454879526,0.5223709399944342,0.03126677411419445,0.6704027019311124,0.054289239295991436,0.02970468638928465,0.6699633897563418,0.05431522529135981
4.0,40.0,0.49195685707964726,0.05258862528268084,0.5282610715621036,0.02789091722179183,0.6827924975829575,0.05832637329184287,0.026012107660500022,0.683069034935352,0.05835184801236844
4.125,41.25,0.4714968002394336,0.0546133050243981,0.5336525798760622,0.02487373612811593,0.693524018328292,0.06241926168896975,0.022611503592194576,0.6943582225706966,0.062448090394400246
4.25,42.5,0.4557809215638311,0.05654239828443663,0.5386483686092152,0.022229869147017703,0.7028069340390528,0.06655799176023497,0.01957255755352016,0.704024729951752,0.06659299325446155
4.375,43.75,0.4397016736919229,0.05839669872386627,0.5433286089923672,0.019952334897790806,0.7108446170279392,0.07073398921287649,0.016933316449047383,0.7122797469429948,0.07077692453695211
4.5,45.0,0.4170380594453013,0.060192681959789364,0.547754133081523,0.018018176436799344,0.7178261316872087,0.07493994144045324,0.01470019786856663,0.7193368104864943,0.07499162541877573
4.625,46.25,0.4003544509744596,0.061942806286504754,0.5519700453003208,0.01639411493598787,0.7239212521777331,0.07916968215115995,0.012852567771480276,0.7253987963471459,0.07923016961288781
4.75,47.5,0.38719959663930303,0.06365609047238445,0.5560091858542404,0.015041582749836127,0.7292780860041409,0.08341805519332297,0.011350455233645293,0.730648372800059,0.08348685440587379
4.875,48.75,0.36815263286936,0.0653387972777925,0.5598952037444613,0.013920755624650458,0.73402273869398,0.08768077203205485,0.010143315763482944,0.7352425057293777,0.08775704767199678
5.0,50.0,0.3535561801838023,0.06699510513471253,0.5636451144096701,0.01299345228131661,0.7382604220950555,0.09195427351266124,0.009177919998015777,0.739310763509792,0.09203701556565988
5.125,51.25,0.33202591258941483,0.06862769945623011,0.5672713136010358,0.012224963689332504,0.7420774582980174,0.09623560287237375,0.008404181202187423,0.7429565714978877,0.096323751643872
5.25,52.5,0.31713393831900605,0.07023825358382248,0.5707830861501415,0.011584991702147045,0.7455437291865415,0.10052229382272275,0.007778593808843362,0.7462603253939897,0.1006148217981223
5.375,53.75,0.30165583488582437,0.07182779565432577,0.5741876853915059,0.011047922348237416,0.7487152372355428,0.10481227510292192,0.007265591542667391,0.7492833434632664,0.104908232693343
5.5,55.0,0.28713965886659065,0.07339697287866864,0.5774910718800979,0.010592652975067401,0.7516365538439154,0.10910379121661257,0.006837432897751685,0.7520718873662842,0.10920232589850246
5.625,56.25,0.2674831736801397,0.0749462315425723,0.580698396774462,0.010202157508656766,0.7543430243141512,0.11339533802094648,0.006473245056914545,0.7546607774917728,0.11349569617049673
5.75,57.5,0.2552564142318655,0.07647593235882738,0.5838143033301164,0.00986292882293888,0.7568626688382007,0.11768561130015855,0.00615772880597064,0.757076384357165,0.1177871303675972
5.875,58.75,0.23893064106884354,0.07798641904095903,0.586843104911078,0.009564393423436242,0.7592177672119519,0.12197346628031155,0.005879853995247409,0.7593389572149208,0.12207556281391937
6.0,60.0,0.2244950203074198,0.07947805484965625,0.5897888832044921,0.009298357193628835,0.7614261450020914,0.12625788609982794,0.005631721032785987,0.7614643545419734,0.12636004312136326
6.125,61.25,0.214078832023018,0.08095123845763016,0.5926555376386797,0.00905851357362872,0.7635021949740524,0.13053795744122057,0.0054076532271704,0.7634652857747244,0.13063971308090871
6.25,62.5,0.1979329912006337,0.08240640736349768,0.5954468069464051,0.008840026674373065,0.7654576739969938,0.13481285178096836,0.005203518207320341,0.765352180439085,0.13491378996882256
6.375,63.75,0.18411414028342882,0.08384403450965751,0.5981662763208765,0.00863918991128461,0.7673023158808567,0.1390818109792775,0.005016244354590426,0.7671337875353469,0.1391815543056325
6.5,65.0,0.17013589716993371,0.08526462177583459,0.6008173783139871,0.008453153989293093,0.7690442973144389,0.14334413618124656,0.004843488271342858,0.7688175871013371,0.1434423406796519
