time,t_data,g2p_data,NN1,NN2,g1p_fit,g2p_fit,Xact_fit,g1p_GT,g2p_GT,Xact_GT
0.0,0.0,8.750651764467647e-6,0.9801668515230146,0.9834101980014206,0.0,0.0,0.0,0.0,0.0,0.0
0.125,1.25,0.0004206328370836097,0.9801658825805555,0.9834099269430135,9.262902292781218e-5,4.344473380481544e-5,1.1839854469799672e-7,9.081356701906867e-5,4.273196806699849e-5,1.1672890638728068e-7
0.25,2.5,0.0007248660146811693,0.9801663038059193,0.9834101927326868,9.283351142069378e-5,9.364064395718923e-5,5.473296386040298e-7,9.099071078187045e-5,9.188710814627901e-5,5.379607431397848e-7
0.375,3.75,0.0009359880992595785,0.9801667156288985,0.9834104518730304,9.283392421536769e-5,0.00014204060940218826,1.2836477344495992e-6,9.099105663779875e-5,0.00013925169219416154,1.2600991035002533e-6
0.5,5.0,0.00107039236025862,0.9801671154234863,0.9834107034557588,9.283388712855704e-5,0.0001886928573743536,2.315862641889376e-6,9.099105731230228e-5,0.00018487755600407951,2.2717126364741e-6
0.625,6.25,0.0011767560897302913,0.9801675036300402,0.9834109477591456,9.283385015123364e-5,0.00023366199769244325,3.6328909341447473e-6,9.099105731306827e-5,0.0002288299945531373,3.561784348246542e-6
0.75,7.5,0.0012366035861700322,0.9801678806780435,0.9834111850529965,9.283381424207914e-5,0.00027701018102143217,5.224058842846714e-6,9.099105732251202e-5,0.0002711717716585706,5.119710856199051e-6
0.875,8.75,0.0012946079426706962,0.9801682469800712,0.9834114155964894,9.283377928123734e-5,0.00031879716156755475,7.079086509468613e-6,9.099105721865626e-5,0.0003119631969215929,6.935286251352407e-6
1.0,10.0,0.0013314392242689062,0.9801686029324944,0.9834116396386227,9.283374568311184e-5,0.0003590803965730443,9.188072850190269e-6,9.099105755863505e-5,0.0003512622288165561,8.998686609076467e-6
1.125,11.25,0.001350384530994121,0.9801689489162048,0.9834118574186634,9.283371229582036e-5,0.00039791514150314876,1.1541481045872385e-5,9.09910572345845e-5,0.00038912457326780017,1.1300455147075482e-5
1.25,12.5,0.0013585234608263113,0.9801692852972119,0.9834120691665375,9.283368047686691e-5,0.00043535454025393,1.4130124629127456e-5,9.099105726603234e-5,0.0004256037770671699,1.38314880013179e-5
