time,t_data,g2p_data,NN1,NN2,g1p_fit,g2p_fit,Xact_fit,g1p_GT,g2p_GT,Xact_GT
0.0,0.0,3.6538855882389675e-5,0.9950756996623832,0.9957776796604833,0.0,0.0,0.0,0.0,0.0,0.0
0.125,1.25,0.0016887087456684128,0.9950749235182834,0.9957774709282723,0.0003660031354349617,0.00017196509382774874,4.692816853373043e-7,0.0003642169466345559,0.00017126277191043028,4.67635444901013e-7
0.25,2.5,0.002922039205327531,0.995075353551765,0.9957776754165936,0.0003667625019329077,0.00037016345409060503,2.165601970380157e-6,0.0003649498636750183,0.00036843634197199855,2.1563718549522116e-6
0.375,3.75,0.0037908028849961087,0.9950757729738091,0.995777874560695,0.0003667639279301111,0.0005612134554873159,5.075430724997073e-6,0.0003649513438961495,0.0005584661697751904,5.052233754583835e-6
0.5,5.0,0.004354763071953769,0.995076179803376,0.9957780677506278,0.0003667637799812349,0.0007453337914299519,9.153139160545797e-6,0.000364951346882007,0.0007415743902251178,9.109645594772542e-6
0.625,6.25,0.004810265842076976,0.9950765745542917,0.9957782552311308,0.00036676363324857704,0.000922799608287396,1.4354844089208977e-5,0.0003649513468875902,0.000918036760712586,1.4284784458343608e-5
0.75,7.5,0.005075400038422353,0.9950769577202417,0.995778437236613,0.0003667634908254661,0.0010938735321802452,2.06383950294752e-5,0.0003649513468910322,0.001088116452669151,2.053556366627077e-5
0.875,8.75,0.005333715650903791,0.9950773297710515,0.9957786139900819,0.0003667633524735191,0.0012588062327025626,2.796329552607206e-5,0.00036495134683644186,0.0012520646292400054,2.7821553745524705e-5
1.0,10.0,0.005502800321109439,0.9950776911540796,0.9957787857038161,0.00036676321847598436,0.001417837082602982,3.629062867456179e-5,0.00036495134711322393,0.001410121108663336,3.6103907636656646e-5
1.125,11.25,0.005595536512883509,0.9950780422955319,0.9957789525799946,0.0003667630875556512,0.0015711947731639518,4.55829867005246e-5,0.0003649513467581237,0.001562514983002701,4.534528997848231e-5
1.25,12.5,0.005641175664879525,0.9950783836016602,0.9957791148112755,0.0003667629608934995,0.0017190978878369708,5.5804404322586245e-5,0.0003649513468608342,0.0017094651949647773,5.550981019726589e-5
1.375,13.75,0.005706417365053541,0.9950787154599069,0.995779272581343,0.0003667628376378018,0.0018617554388076195,6.692029564805838e-5,0.00036495134694556675,0.0018511810772728348,6.65629591478429e-5
1.5,15.0,0.0057171444861268805,0.9950790382399461,0.9957794260654091,0.00036676271761574826,0.001999367368000056,7.889739437825412e-5,0.0003649513468764943,0.00198786285646973,7.847154907649125e-5
1.625,16.25,0.005806794469300937,0.9950793522946653,0.9957795754306838,0.00036676260094635564,0.002132125016513421,9.170369707594074e-5,0.0003649513468383104,0.002119702124584562,9.120365669169112e-5
1.75,17.5,0.005778770520288589,0.9950796579610803,0.9957797208368141,0.00036676248738057315,0.0022602115638073435,0.00010530840938834102,0.00036495134696053395,0.0022468822810149305,0.00010472856914625281
1.875,18.75,0.005810266767221436,0.9950799555611886,0.995779862436293,0.0003667623768167695,0.0023838024402144196,0.00011968189492914393,0.0003649513468690796,0.0023695789468699963,0.00011901673274921359
2.0,20.0,0.005786684644401177,0.9950802454027664,0.9957800003748422,0.00036676226914121644,0.0025030657135283697,0.00013479562673318615,0.0003649513468371769,0.0024879603536893213,0.00013403970423969948
2.125,21.25,0.005869651601865246,0.9950805277801165,0.9957801347917692,0.0003667621642442211,0.0026181624525718396,0.00015062214109625105,0.00036495134695557795,0.0026021877087542868,0.00014977010446691976
2.25,22.5,0.005862358923036924,0.9950808029747664,0.9957802658203033,0.00036676206202088655,0.0027292470686700976,0.00016713499368301867,0.0003649513468725998,0.002712415538481,0.0001661815743324383
2.375,23.75,0.005831655221713826,0.9950810712561249,0.9957803935879082,0.00036676196237083754,0.002836467637237576,0.00018430871772990743,0.0003649513468341958,0.0028187920114036845,0.00018324873286109335
2.5,25.0,0.005840798053114512,0.9950813328820958,0.9957805182165769,0.0003667618651979904,0.0029399662004356486,0.0002021187842603041,0.0003649513469541466,0.0029214592424743617,0.00020094713727610277
2.625,26.25,0.005880442990779807,0.9950815880996562,0.995780639823108,0.0003667617704103386,0.0030398790525194832,0.0002205415641674645,0.000364951346873594,0.0030205535798030034,0.00021925324496312534
2.75,27.5,0.005817259898542656,0.9950818371453986,0.9957807585193651,0.000366761677919746,0.0031363370088907157,0.00023955429207906404,0.0003649513468313752,0.003116205874958206,0.00023814437721594568
2.875,28.75,0.005811228150351357,0.9950820802460405,0.9957808744125201,0.00036676158764176355,0.003229465660005175,0.0002591350319002888,0.000364951346951879,0.0032085417382378104,0.0002575986846634027
3.0,30.0,0.005782703246141007,0.995082317618906,0.9957809876052832,0.00036676149949544886,0.0033193856114202116,0.00027926264390612873,0.00036495134687521564,0.003297681779739864,0.0002775951142844622
3.125,31.25,0.005802290170420841,0.9950825494723764,0.9957810981961193,0.00036676141340318496,0.0034062127103972268,0.0002999167533680947,0.0003649513468288706,0.003383741837077439,0.00029811337792446074
3.25,32.5,0.005854109980011366,0.9950827760063174,0.9957812062794502,0.00036676132929053056,0.003490058260373348,0.0003210777205728724,0.000364951346949627,0.003466833190901753,0.00031913392223086463
3.375,33.75,0.00583910492169888,0.995082997412481,0.9957813119458482,0.0003667612470860719,0.0035710292239396857,0.00034272661217924497,0.00036495134687673835,0.003547062768851057,0.00034063789993271176
3.5,35.0,0.0058461362531878796,0.9950832138748841,0.9957814152822159,0.00036676116672128143,0.0036492284150992796,0.00036484517383746735,0.00036495134682622873,0.0036245333385558167,0.0003626071423926666
3.625,36.25,0.005864994443294986,0.9950834255701682,0.9957815163719576,0.00036676108813037974,0.003724754681428222,0.00038741580401286974,0.00036495134694772453,0.003699343690680751,0.0003850241333647755
3.75,37.5,0.005842813164203013,0.9950836326679366,0.9957816152951406,0.00036676101125021675,0.0037977030766018598,0.00041042152897562275,0.00036495134687821915,0.0037715888124622145,0.00040787198389562423
3.875,38.75,0.00581027926341028,0.9950838353310756,0.9957817121286484,0.0003667609360201427,0.0038681650244885195,0.0004338459788112125,0.00036495134682397397,0.0038413600522063944,0.0004311344083104463
4.0,40.0,0.005855641833862714,0.9950840337160569,0.9957818069463245,0.0003667608623818869,0.003936228474503569,0.0004576733645200775,0.00036495134694500747,0.003908745275590388,0.0004547957012288828
4.125,41.25,0.005816518484562563,0.995084227973225,0.9957818998191089,0.0003667607902794713,0.0040019780494933346,0.00048188845604119144,0.0003649513468800582,0.003973829014102777,0.00047884071555890164
