time,t_data,ERK_data,NN1,NN2,NN3,NN1_GT,NN2_GT,NN3_GT,R_fit,Ras_fit,Raf_fit,MEK_fit,ERK_fit,NFB_fit,PFB_fit,R_GT,Ras_GT,Raf_GT,MEK_GT,ERK_GT,NFB_GT,PFB_GT
0.0,0.0,0.002531967995025244,0.43393608366938125,0.9799615867013304,0.37657272871114383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.125,1.25,0.20484234145563093,1.2129769672512622e-5,0.0007199862923393874,3.854582610558586,3.492682139077425e-7,0.5481352368416821,0.9361782531622274,0.9361782531622271,0.8531030861347272,0.23146558290768685,0.010105160368078231,0.0003109293707264667,1.9266491477921597e-9,2.478100306656007e-6,0.9361782531622274,0.8531030861347291,0.22278092576017694,0.008930752308109906,0.00024742813373800033,8.623230252774352e-8,4.716827110516148e-7
0.25,2.5,0.5807153547142543,1.1614304346588827e-5,0.0006975000408135198,3.873125271588269,1.2059126855696115e-5,0.5699644931107956,0.97856723110963,0.9785672311096298,0.9497006306415331,0.5330253627908984,0.056969655624404786,0.003669304665787933,5.2080911371414405e-9,7.394870638652054e-5,0.97856723110963,0.9497006306415329,0.5287078234133414,0.055150289988028775,0.003453751629125977,2.986538151629956e-6,1.6420000728346232e-5
0.375,3.75,0.7734762184540825,3.019324277061332e-5,0.001351428170201036,3.4584231249114374,7.146311843888587e-5,0.5708399479967343,0.9803168331811495,0.9803168331811495,0.9510825355635497,0.6822830130703945,0.1252902956252457,0.012688004373167121,3.412335198395884e-8,0.00038809873711950077,0.9803168331811495,0.9510825355635494,0.6803487959396287,0.12329708422126326,0.012313039035450274,1.7875178512567684e-5,9.8265036973815e-5
0.5,5.0,0.8254530971093583,6.418806223464225e-5,0.002282741124450598,3.131743397066906,0.00022465013020581465,0.5708760392760895,0.9803890478831038,0.980389047883104,0.9511058752212501,0.7467050712952403,0.19853444104190612,0.027615684477266915,1.6294433836209726e-7,0.0011146302421988585,0.9803890478831038,0.95110587522125,0.7459136317102318,0.19659102959507807,0.02709813754676216,5.668617692897131e-5,0.00031132215616918994
0.625,6.25,0.8379305982484394,0.000122832604343024,0.003591497249888145,2.8532784293531335,0.0005155661284242336,0.5708775288677752,0.9803920285398294,0.9803920285398293,0.9511064900318044,0.7727804091545731,0.26924307109643125,0.04787963752655427,5.531834119017189e-7,0.0023670681390823966,0.9803920285398294,0.9511064900318044,0.7724894810157943,0.2674363925904303,0.047237248008450715,0.00013081593948811854,0.0007176364373799541
0.75,7.5,0.8338987451525732,0.00022612807211169804,0.005515761073600913,2.596265719427581,0.0009835480871042716,0.5708775903504422,0.9803921515662258,0.9803921515662258,0.9511065118277805,0.7830159846236363,0.3347136066082298,0.07283073330351897,1.5191306986872857e-6,0.004197549848701137,0.9803921515662258,0.9511065118277804,0.7829485790160423,0.33307002924301676,0.07207903580275307,0.0002503606799109451,0.0013718161946493076
0.875,8.75,0.8314066266931854,0.0004114906276595763,0.008442902533510103,2.35180417073409,0.0016627884860918878,0.5708775928881347,0.9803921566441316,0.9803921566441316,0.9511065126906443,0.7869902083773697,0.39424534626803515,0.10185890214593361,3.6582608940869416e-6,0.0066037164314178215,0.9803921566441316,0.9511065126906443,0.787040863180421,0.3927682726855298,0.10101293788909467,0.0004241297778706386,0.002321158203458041
1.0,10.0,0.8250284932747357,0.0007475126986158522,0.013012713068025757,2.118867279659266,0.002582327286698863,0.5708775929928778,0.9803921568537218,0.9803921568537218,0.9511065127258815,0.7885418898820339,0.4478877726399876,0.13436293466280952,8.096378697907243e-6,0.009540077894642732,0.9803921568537218,0.9511065127258814,0.7886721716410272,0.44657258915298764,0.13343855103276495,0.0006597039101441733,0.0036060301501881263
1.125,11.25,0.8153365472351675,0.0013607770776965088,0.020317174564495655,1.898219840484396,0.0037661221255906705,0.570877592997201,0.9803921568623726,0.9803921568623727,0.951106512727332,0.7891769627245779,0.49594946618544594,0.1697253231000458,1.695589937904206e-5,0.01292985188812353,0.9803921568623726,0.951106512727332,0.7893647242523375,0.4947883684952217,0.1687394295314305,0.0009634267079518057,0.005259893850350889
