time,t_data,ERK_data,NN1,NN2,NN3,NN1_GT,NN2_GT,NN3_GT,R_fit,Ras_fit,Raf_fit,MEK_fit,ERK_fit,NFB_fit,PFB_fit,R_GT,Ras_GT,Raf_GT,MEK_GT,ERK_GT,NFB_GT,PFB_GT
0.0,0.0,0.0035304896573208505,0.010018196781202554,0.08162222999048009,-0.285019014691939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.125,1.25,0.1387708343203862,-0.028879884540462357,0.19178206599444067,-0.25377708494976525,2.3916375378241846e-9,0.01679522463400946,0.11109380570897304,0.111093805708973,0.11723260969847918,0.021804752757403238,0.0007276088047763742,1.858286382799145e-5,2.123248538267702e-9,-9.937860898491978e-9,0.11109380570897304,0.11723260969847915,0.022492159583270745,0.0007211190599507267,1.748077738537341e-5,1.3382287477398398e-10,3.2214722956827065e-9
0.25,2.5,0.5199346346380092,-0.07317376544316795,0.2644398868481568,-0.2153922908277017,2.4264364626432224e-7,0.055517539965016925,0.20608058766189646,0.2060805876618964,0.37012579946612334,0.12901801831439688,0.00890896098101506,0.00043820877237036346,1.3662796165694874e-7,-4.0906459081621525e-7,0.20608058766189646,0.37012579946612373,0.13489834557300093,0.009272194365975955,0.0004519236623521098,2.4562588959195975e-8,3.2726459400542956e-7
0.375,3.75,0.7514894956953371,-0.07372500084443499,0.3332852138481297,-0.17875305542743822,3.094422305332321e-6,0.1009506663743173,0.28482739574317384,0.28482739574317373,0.6200687676342959,0.30983030458231514,0.03436305606412654,0.0025337093286335478,1.5242673318694161e-6,-3.177282185397634e-6,0.28482739574317384,0.6200687676342953,0.3208843299338729,0.03574281057202271,0.002635524750461752,4.1915935656251315e-7,4.18665036389459e-6
0.5,5.0,0.8199439782438271,-0.03770180999541915,0.40252494497738367,-0.14610911327146953,1.6905414344156043e-5,0.145048894766132,0.35011079260631633,0.3501107926063166,0.7805265099636288,0.4963913133220173,0.08027753060192445,0.008021300783593336,8.058347715542043e-6,-1.2047653425539954e-5,0.35011079260631633,0.7805265099636276,0.5077182141730038,0.0829058746587169,0.008319773794332724,2.7261480424267564e-6,2.2998431525454613e-5
0.625,6.25,0.8389408179674535,0.0013585766198977792,0.4585507184588938,-0.11611405650616437,5.804294972272381e-5,0.18444889662955785,0.40423262953958866,0.40423262953958866,0.8527991980687314,0.6324788561707066,0.14111855064819873,0.018161948045885553,2.7589461954590818e-5,-3.0497688891077913e-5,0.40423262953958866,0.8527991980687315,0.6394656363087058,0.14457123477549488,0.018736378932221926,1.0502436856576769e-5,7.953715228724748e-5
0.75,7.5,0.836348453822909,0.025965553256577525,0.49428600603339484,-0.08685858993586446,0.0001492903102665429,0.21823594895566306,0.4491012082866827,0.4491012082866827,0.8814774057789649,0.7109611279927224,0.20821323555730123,0.033394854560558865,7.05820367786636e-5,-5.9034089264958676e-5,0.4491012082866827,0.881477405778964,0.7127218783905733,0.21181038473864283,0.03426051681948177,2.9256948675272988e-5,0.00020598270304233792
0.875,8.75,0.8345349014848412,0.03758010585209798,0.5141805654700269,-0.057895541272895965,0.00031690198443814067,0.24660028705742779,0.4862985665593941,0.486298566559394,0.8948827594213841,0.7506639374092078,0.27506492801060983,0.053577715550939646,0.00014760812348549272,-9.342593671247704e-5,0.4862985665593941,0.8948827594213848,0.748634673504147,0.27828936634666035,0.054697175115818245,6.569744525707869e-5,0.00043934561585194
1.0,10.0,0.8210481040878712,0.04212307260521307,0.5248059859409376,-0.02957527041476476,0.0005880287934312388,0.2701503491195309,0.5171362596868604,0.5171362596868603,0.902874292673622,0.7696225959283655,0.3382748221070651,0.07830653884679795,0.00026811724242591496,-0.0001246182955014934,0.5171362596868604,0.9028742926736211,0.7654617531961908,0.34087117459101474,0.07961534115416836,0.00012691933997723473,0.0008174674119632697
1.125,11.25,0.7909961137568577,0.043732064844638874,0.5305636828082324,-0.0022239014180851294,0.0009886609791429554,0.28959467363876384,0.5427016052270414,0.5427016052270414,0.9083683185122108,0.7785921539513534,0.3964691221769822,0.10707110738278955,0.0004402982072365079,-0.0001396301494658497,0.5427016052270414,0.9083683185122093,0.7734190585132465,0.3983698008981138,0.10849697369966664,0.00021981688654893679,0.0013763931701233003
