time,t_data,ERK_data,NN_approx,NN_GT,R_fit,Ras_fit,Raf_fit,MEK_fit,ERK_fit,NFB_fit,PFB_fit,R_GT,Ras_GT,Raf_GT,MEK_GT,ERK_GT,NFB_GT,PFB_GT
0.0,0.0,0.00036391434746274376,-0.25280791795767343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.125,1.25,0.20278965937018315,-0.26343024718778646,3.492682139077425e-7,0.9361782531600097,0.8531030862242097,0.1931908204006825,0.006930283889450079,0.0001677789952569644,4.8993874270543304e-8,2.678542647962612e-7,0.9361782531622274,0.8531030861347291,0.22278092576017694,0.008930752308109906,0.00024742813373800033,8.623230252774352e-8,4.716827110516148e-7
0.25,2.5,0.5831596107179221,-0.03752388720303026,1.2059126855696115e-5,0.9785672311045278,0.9497006306489018,0.5022327029966855,0.04972140308133336,0.0029775080311521323,2.445199662870404e-6,1.3445992481382583e-5,0.97856723110963,0.9497006306415329,0.5287078234133414,0.055150289988028775,0.003453751629125977,2.986538151629956e-6,1.6420000728346232e-5
0.375,3.75,0.7700682673219832,0.09114958092736504,7.146311843888587e-5,0.9803168331779227,0.9510825355789075,0.6721536940002133,0.11636480739514304,0.011252308222742322,1.5791730334686382e-5,8.682149091230147e-5,0.9803168331811495,0.9510825355635494,0.6803487959396287,0.12329708422126326,0.012313039035450274,1.7875178512567684e-5,9.8265036973815e-5
0.5,5.0,0.8230341684025178,0.13062237510974486,0.00022465013020581465,0.9803890478892819,0.9511058752482385,0.7523673042692547,0.1903019058594899,0.025511090005661336,5.19078795075759e-5,0.0002851094354775618,0.9803890478831038,0.95110587522125,0.7459136317102318,0.19659102959507807,0.02709813754676216,5.668617692897131e-5,0.00031132215616918994
0.625,6.25,0.841693884817873,0.12258104223030979,0.0005155661284242336,0.9803920285501899,0.9511064900413432,0.7854053566161481,0.2628271360413058,0.04530401917854002,0.00012245661756622953,0.0006718519722655366,0.9803920285398294,0.9511064900318044,0.7724894810157943,0.2674363925904303,0.047237248008450715,0.00013081593948811854,0.0007176364373799541
0.75,7.5,0.8313234926679196,0.09844105736679264,0.0009835480871042716,0.9803921515712778,0.9511065118296113,0.7966523268350167,0.33025339819412863,0.06999113445888219,0.00023792356818977539,0.0013038208056600539,0.9803921515662258,0.9511065118277804,0.7829485790160423,0.33307002924301676,0.07207903580275307,0.0002503606799109451,0.0013718161946493076
0.875,8.75,0.8327905370811745,0.07306969191657865,0.0016627884860918878,0.9803921566447739,0.95110651269078,0.7988872358819946,0.39142747345193163,0.0989249240496551,0.00040747231873787293,0.0022302698799557745,0.9803921566441316,0.9511065126906443,0.787040863180421,0.3927682726855298,0.10101293788909467,0.0004241297778706386,0.002321158203458041
1.0,10.0,0.8281118832487417,0.05167188162979652,0.002582327286698863,0.9803921568537798,0.9511065127258929,0.7978639372013053,0.44628594884406503,0.13145708352858662,0.0006389475257033107,0.0034930161084891277,0.9803921568537218,0.9511065127258814,0.7886721716410272,0.44657258915298764,0.13343855103276495,0.0006597039101441733,0.0036060301501881263
1.125,11.25,0.8083185412994865,0.03536597310317146,0.0037661221255906705,0.9803921568623803,0.9511065127273315,0.7959775876825214,0.49517478451394453,0.16692791423201653,0.0009388629245556752,0.0051264453316210165,0.9803921568623726,0.951106512727332,0.7893647242523375,0.4947883684952217,0.1687394295314305,0.0009634267079518057,0.005259893850350889
1.25,12.5,0.8041207116104154,0.023867153629931345,0.005233044152970771,0.9803921568627304,0.9511065127273898,0.7941436143541284,0.5385665328238671,0.2046688418712918,0.0013123805714400348,0.007157474312344112,0.9803921568627297,0.9511065127273919,0.7897018568565958,0.5378024816888881,0.20628066414088198,0.0013403683528004995,0.00730917792967726
1.375,13.75,0.7998247495294313,0.01653005884278171,0.006996883134946046,0.9803921568627448,0.9511065127273973,0.7926587495472606,0.5769530795256379,0.24401496698368416,0.0017633065220917297,0.009605602029347333,0.9803921568627445,0.9511065127273943,0.789900777360194,0.5760199115154901,0.24542103770838541,0.001794300920917516,0.009773214259140049
1.5,15.0,0.7868733893686973,0.012696178652509302,0.009066446779475476,0.9803921568627452,0.9511065127273979,0.7915731623588902,0.6108087945499797,0.2843212208553023,0.002294116427178538,0.012483118212550806,0.9803921568627451,0.9511065127273944,0.7900351308801332,0.6098421908140969,0.2855305507251338,0.0023277049584993713,0.01266433943665141
1.625,16.25,0.7768947117440186,0.011785567824859162,0.011445785404668037,0.9803921568627455,0.9511065127274032,0.7908449247604497,0.6405797308385432,0.32497805827485843,0.0029060137296571037,0.01579547840189085,0.9803921568627451,0.9511065127273944,0.7901209356223721,0.6396595832947664,0.3260080056844669,0.002941812113128213,0.01598818248536582
1.75,17.5,0.7545558335078573,0.013305206408589041,0.014134536000892243,0.9803921568627455,0.9511065127273958,0.790401682422664,0.6666814911135435,0.3654247707457642,0.0035990172584972184,0.019541824285593947,0.9803921568627451,0.9511065127273944,0.790149878030841,0.6658473680911049,0.366296185844115,0.00363668103478773,0.019744119816652285
1.875,18.75,0.7279116499852523,0.01683553922255017,0.0171283627502042,0.9803921568627454,0.9511065127274047,0.7901641438825636,0.6894994783889432,0.4051597404267006,0.004372072534178862,0.02371561682685372,0.9803921568627451,0.9511065127273944,0.790102487836439,0.688763223581028,0.4058937237657381,0.004411300540579575,0.02392586310262321
2.0,20.0,0.6959809426697177,0.02201512671104458,0.02041946582600496,0.980392156862745,0.9511065127274116,0.7900544997480513,0.7093895487638608,0.44374754939760247,0.005223180417537105,0.028305348182606584,0.9803921568627451,0.9511065127273944,0.7899536896205486,0.7087449839549066,0.4443635020657016,0.005263713072947543,0.02852214261267504
2.125,21.25,0.6823321225242781,0.02852866446814891,0.023997130524610586,0.9803921568627436,0.9511065127273274,0.7899992468529914,0.7266786296148026,0.48082310832434855,0.006149536862394084,0.03329530080535164,0.9803921568627451,0.9511065127273944,0.7896754955323343,0.7261087440860655,0.4813377504483954,0.006191151547139302,0.033517450600839174
2.25,22.5,0.7210051550069791,0.036098830804370305,0.02784829116201305,0.9803921568627406,0.9511065127276813,0.7899301332214801,0.7416653406401439,0.5160930601519246,0.0071476779828732705,0.03866632550649444,0.9803921568627451,0.9511065127273944,0.7892386270258022,0.741147437751181,0.5165201280354998,0.007190183173162987,0.03889281294862862
2.375,23.75,0.7520990183044295,0.0444811030117811,0.03195808728534398,0.9803921568627557,0.9511065127255117,0.7897845705127334,0.7546207413273834,0.5493347480700254,0.008213625211194248,0.04439661354427514,0.9803921568627451,0.9511065127273944,0.7886137112741439,0.7541299860534274,0.54968512772936,0.008256854487222718,0.04462656104786342
2.5,25.0,0.7634585237592203,0.05346052194966532,0.036310393150751366,0.980392156862745,0.9511065127383823,0.7895059247772815,0.7657892930868645,0.5803930597734581,0.009343025937948918,0.050462440815007226,0.9803921568627451,0.9511065127273944,0.7877722645360711,0.765301043386534,0.5806751660617345,0.009386832545721225,0.0506950795163962
2.625,26.25,0.7713040564587857,0.06284956184356706,0.04088830504506058,0.9803921568627415,0.9511065126793636,0.7890437555691813,0.7753900666251995,0.6091754886729261,0.010531285692863747,0.05683886519841815,0.9803921568627451,0.9511065127273944,0.7866875164828886,0.774881305019408,0.6093957487859679,0.010575538004302503,0.05707350890966652
2.75,27.5,0.7758480316885138,0.07248650157330247,0.04567457488142835,0.9803921568627475,0.9511065128262073,0.7883539725770505,0.7836181778408101,0.6356457867790004,0.01177368865312711,0.06350036132264192,0.9803921568627451,0.9511065127273944,0.7853350785140983,0.7830682971555842,0.6358091313232958,0.011818266629288041,0.06373638635574323
2.875,28.75,0.7733432946315546,0.08223390925881616,0.05065198250558917,0.9803921568627564,0.9511065128985281,0.7873988691492738,0.7906464059127774,0.6598166144928108,0.013065504061060152,0.07042138063993958,0.9803921568627451,0.9511065127273944,0.7836934496126372,0.7900375478867994,0.6599269165798151,0.013110296666589957,0.07065821113965752
3.0,30.0,0.7734572232989848,0.09197702420992568,0.05580364312820252,0.9803921568627142,0.9511065057732402,0.7861470113834518,0.7966269335687138,0.6817416082200668,0.014402076974503021,0.07757682872354936,0.9803921568627451,0.9511065127273944,0.7817443588494962,0.7959440318584327,0.6818020404075771,0.014446980402336539,0.07781392666335592
3.125,31.25,0.7656364468513265,0.10162196500467816,0.06111324999868131,0.9803921568627557,0.9511065423196265,0.7845729798298241,0.8016931475869579,0.7015072786671283,0.01577890262203783,0.08494245591950965,0.9803921568627451,0.9511065127273944,0.7794729531691078,0.8009237875701121,0.7015205790183054,0.01582381914956521,0.08517931471832807
3.25,32.5,0.7750018079970451,0.11109369011722944,0.06656525560010958,0.9803921568627442,0.9511064977910593,0.7826570070666022,0.8059614427591869,0.7192251172039715,0.01719168443850515,0.09249516161624342,0.9803921568627451,0.9511065127273944,0.7768678478162118,0.8050956192972748,0.7191937699420518,0.01723652173455178,0.09273130233563899
3.375,33.75,0.7690882686003203,0.12033396593225859,0.07214499707517583,0.9803921568627442,0.9511065174279205,0.7803844827996029,0.8095329827009784,0.7350242271601525,0.018636376560341134,0.10021321610374727,0.9803921568627451,0.9511065127273944,0.7739210627881488,0.8085628118654257,0.7349505714845973,0.018681047282711447,0.10044818530912546
3.5,35.0,0.7644534665475756,0.12929909141616838,0.07783877319073824,0.9803921568627455,0.9511065108950925,0.7777454612106373,0.8124953803391755,0.7490447187372391,0.020109212121542767,0.1080764070091005,0.9803921568627451,0.9511065127273944,0.7706278715324345,0.8114148032631777,0.7489310026908513,0.020153633676533826,0.10830977556255748
3.625,36.25,0.7640116061228925,0.13795783454310254,0.08363388092511423,0.9803921568627455,0.9511065139572141,0.7747340938498896,0.8149242735063922,0.7614320204172934,0.021606719084104317,0.11606611944382135,0.9803921568627451,0.9511065127273944,0.7669865880518376,0.8137287756527503,0.7612804166936665,0.021650813454116336,0.1162974816951726
3.75,37.5,0.7456739103495539,0.14628937065196632,0.08951861982231077,0.9803921568627456,0.9511065113307423,0.7713481025642733,0.8168847788641325,0.7723321765852407,0.023125725557010715,0.12416536023125326,0.9803921568627451,0.9511065127273944,0.7629983163055335,0.8155711388156619,0.7721447751032972,0.02316941913477294,0.12439433325782098
3.875,38.75,0.7370193431856807,0.15428144051557655,0.09548227176594563,0.9803921568627457,0.9511065146247576,0.7675882669348555,0.8184328166102934,0.7818881287378867,0.024663356619719884,0.132358736960357,0.9803921568627451,0.9511065127273944,0.7586666821106101,0.816998891102707,0.7816669177786189,0.02470658001469229,0.13258495965899167
4.0,40.0,0.736339014327629,0.16192868702204413,0.10151506296900539,0.9803921568627442,0.9511065102968871,0.7634579644990256,0.819616304096651,0.7902369213071118,0.026217024597405995,0.14063240227841275,0.9803921568627451,0.9511065127273944,0.7539975634100566,0.8180608515504219,0.7899837657583451,0.026259712400475223,0.1408555342290693
4.125,41.25,0.7267292011706319,0.16923123460556191,0.10760811392968689,0.9803921568627444,0.951106515386638,0.7589627587550164,0.8204762215157423,0.797507734593308,0.027784414570952272,0.1489739729748868,0.9803921568627451,0.9511065127273944,0.7489988303907996,0.8187987632021491,0.7972243568846212,0.027826505077736582,0.14919369307490743
4.25,42.5,0.7438502722145292,0.17619346582713827,0.11375338201223276,0.9803921568627442,0.9511065101012274,0.7541100514953435,0.8210475558677692,0.80382062573472,0.029363466680405823,0.1573724322150834,0.9803921568627451,0.9511065127273944,0.7436801029322675,0.8192482721534589,0.8035085926135098,0.02940490158219113,0.15758843713225998
4.375,43.75,0.7461062784826602,0.18282303621880328,0.11994360027769238,0.9803921568627442,0.9511065151992965,0.7489087837068353,0.8213601317738317,0.8092858513505696,0.03095235652818959,0.16581802192926748,0.9803921568627451,0.9511065127273944,0.738052529486631,0.8194397897815222,0.8089465678338453,0.030993080583925074,0.16603002444655063
4.5,45.0,0.7549727228976747,0.1891300476667491,0.1261722152750838,0.9803921568627442,0.951106510370703,0.7433691981352752,0.8214393386084159,0.814003648989142,0.032549474733193674,0.1743021309902141,0.9803921568627451,0.9511065127273944,0.732128588832462,0.8193992473538342,0.8136383595833045,0.032589435437302375,0.17450985832250263
4.625,46.25,0.7489400680513886,0.1951264195847091,0.1324333257368873,0.9803921568627441,0.9511065150179766,0.737502640501717,0.8213067641938564,0.8180643651891368,0.03415340644703857,0.1828171835194874,0.9803921568627451,0.9511065127273944,0.7259219141954444,0.8191487530431769,0.8176741617126108,0.03419255370712631,0.18302037567933038
4.75,47.5,0.7544624082427458,0.200825369599503,0.13872162350779246,0.9803921568627442,0.9511065104475916,0.7313214101156725,0.8209807449658447,0.8215488326755944,0.03576291143048844,0.191356530512074,0.9803921568627451,0.9511065127273944,0.7194471379183546,0.818707161554947,0.821134667626398,0.035801197267222716,0.19155493879116384
4.875,48.75,0.751609242450056,0.2062410400735915,0.14503233756036493,0.9803921568627442,0.9511065149978076,0.7248386366299365,0.8204768424203732,0.8245289154645461,0.03737690510665418,0.1999143469908077,0.9803921568627451,0.9511065127273944,0.7127197540820229,0.8180905663031827,0.8240916197418195,0.03741428338576267,0.20010773261133272
5.0,50.0,0.7523972153657622,0.21138818905696452,0.15136118159602324,0.9803921568627441,0.9511065104693796,0.7180681919474846,0.8198082547647441,0.8270681566927331,0.03899444085941823,0.20848553610308518,0.9803921568627451,0.9511065127273944,0.7057559961156392,0.8173127235110281,0.8266084605096476,0.03903086706334878,0.2086736690797165
5.125,51.25,0.7463507404854817,0.2162819830565816,0.15770430547216024,0.9803921568627441,0.9511065149439829,0.7110246159367101,0.8189861722163818,0.829222478701877,0.040614693728726246,0.21706564094366584,0.9803921568627451,0.9511065127273944,0.6985727263811328,0.816385416879243,0.8287410346502188,0.04065012477326675,0.21724829918455313
5.25,52.5,0.7452127908717947,0.22093781818315236,0.16405825051510994,0.9803921568627442,0.9511065105626159,0.7037230649458871,0.8180200833356347,0.8310408977136301,0.04223694556562336,0.2256507644104856,0.9803921568627451,0.9511065127273944,0.691187334880554,0.8153187706496703,0.830538305102286,0.04227133966483794,0.22582773307489515
5.375,53.75,0.74534157480904,0.22537121123275808,0.17041990865532242,0.9803921568627442,0.9511065148241479,0.6961792638194626,0.8169180392154605,0.832566226115161,0.04386057164500355,0.2342374970528038,0.9803921568627451,0.9511065127273944,0.6836176445415773,0.8141215180507286,0.8320430558766007,0.04389388822624008,0.23440856817416258
5.5,55.0,0.7471757930328714,0.22959769451086764,0.1767864852403476,0.9803921568627442,0.9511065106983583,0.6884094709624032,0.8156868813186766,0.8338357439867544,0.04548502868867617,0.24282285262918313,0.9803921568627451,0.9511065127273944,0.6758818209264935,0.8128012312903922,0.8332925636035057,0.04551722835813851,0.2429878250052918
5.625,56.25,0.7431840426857764,0.23363275882533735,0.18315546533112848,0.9803921568627442,0.9511065146812433,0.6804304394147497,0.8143324382452497,0.8348818282218786,0.047109844221487736,0.25140421093476184,0.9803921568627451,0.9511065127273944,0.6679982846402637,0.8113645184853259,0.8343192262627692,0.04714088877990586,0.25156289028159357
5.75,57.5,0.738911635144021,0.2374917857201711,0.18952458325866658,0.9803921568627442,0.9511065108483301,0.6722593837628491,0.8128596957961136,0.8357325326829632,0.04873460716528579,0.259979267363522,0.9803921568627451,0.9511065127273944,0.6599856251516876,0.8098171921984089,0.835151142649153,0.04876445967250631,0.26013146672504917
5.875,58.75,0.7233987926879696,0.24119001381655153,0.19589179520476588,0.9803921568627443,0.9511065145244578,0.6639139382402711,0.8112729442948953,0.8364121165729345,0.05035895956644412,0.26854598862531476,0.9803921568627451,0.9511065127273944,0.6518625151661115,0.8081644136085526,0.8358126398404694,0.050387584453254954,0.26869152902893945
6.0,60.0,0.72835998635073,0.24474248717489241,0.20225525456749618,0.9803921568627443,0.9511065110142334,0.6554121158189292,0.8095759063583395,0.8369415208564219,0.05198258935001632,0.2771025740258655,0.9803921568627451,0.9511065127273944,0.6436476250827222,0.8064108157588846,0.8363247485643515,0.05200995257515928,0.27724128537098086
6.125,61.25,0.7202766376354355,0.24816402922356337,0.20861328987590014,0.9803921568627443,0.9511065143502068,0.6467722559588975,0.8077718480099543,0.8373387943663849,0.05360522399538995,0.28564742173024443,0.9803921568627451,0.9511065127273944,0.6353595374239782,0.8045606088207947,0.8367056281442501,0.053631293245462994,0.2857791438960009
6.25,62.5,0.720955211168042,0.2514691963376889,0.21496438502689114,0.9803921568627444,0.9511065111965368,0.6380129705947306,0.805863675403287,0.8376194723903949,0.05522662503306576,0.2941790994581635,0.9803921568627451,0.9511065127273944,0.627016661432359,0.8026176698685378,0.8369709438468743,0.05525136996283798,0.2943036836154665
6.375,63.75,0.7322993718011817,0.2546722520283091,0.22130716162861427,0.9803921568627444,0.9511065141621136,0.6291530782119378,0.8038540192215723,0.837796911206115,0.05684658326875386,0.3026963190968491,0.9803921568627451,0.9511065127273944,0.6186371482862281,0.8005856192772407,0.8371342001184044,0.05686997577928348,0.30281362920882304
6.5,65.0,0.7387014105380194,0.2577871215319192,0.22764036324756634,0.9803921568627444,0.9511065113894513,0.6202115351991572,0.8017453083197781,0.8378825823659699,0.058464914648525046,0.311197914759629,0.9803921568627451,0.9511065127273944,0.6102388075901779,0.7984678855307942,0.837207033517575,0.05848692920036131,0.3113078292541297
6.625,66.25,0.7309997532927167,0.2608273641934071,0.2339628413707238,0.9803921568627444,0.9511065139662799,0.6112073563818783,0.7995398340535792,0.83788633061459,0.060081456686690925,0.319682823862604,0.9803921568627452,0.9511065127273944,0.6018390259452197,0.7962677599494745,0.8371994692329918,0.06010207064534642,0.319785237459796
6.75,67.5,0.740599469605745,0.2638061288564687,0.2402735429081763,0.9803921568627445,0.9511065115875548,0.6021595333693383,0.7972398063488213,0.837816599243134,0.06169606538599795,0.32815007083563885,0.9803921568627451,0.9511065127273944,0.5934546885015834,0.7939884426146065,0.837120144988077,0.06171525939678388,0.3282448965131054
6.875,68.75,0.7337612309537865,0.2667361254053759,0.246571499075936,0.9803921568627445,0.9511065137672123,0.5930869445018699,0.7948474025032861,0.8376806264962257,0.06330861258733933,0.3365987531259869,0.9803921568627451,0.9511065127273944,0.5851021044437926,0.7916330805736741,0.8369765059482224,0.06332637097655953,0.33668592420328425
7.0,70.0,0.7410669228576772,0.26962958285461375,0.25285581551241304,0.9803921568627445,0.9511065117868912,0.5840082643206838,0.7923648094145765,0.8374846163973839,0.06491898369334552,0.34502802919226117,0.9803921568627451,0.9511065127273944,0.576796937357337,0.7892047992489272,0.8367749739937036,0.06493529489274685,0.3451075015162804
7.125,71.25,0.7328894950239869,0.27249822247670313,0.25912566349527877,0.9803921568627445,0.9511065135689121,0.5749418680001146,0.7897942599099197,0.8372338870743167,0.06652707571681345,0.3534371082227014,0.9803921568627451,0.9511065127273944,0.5685541413830645,0.7867067278409804,0.8365210944391338,0.06654193270808678,0.3535088624346381
7.25,72.5,0.7353677214158614,0.27535322130241796,0.26538027213799426,0.9803921568627446,0.9511065119833156,0.5659057377941825,0.78713806363371,0.8369329993714795,0.06813279561093732,0.3618252413445683,0.9803921568627452,0.9511065127273944,0.5603879039845266,0.784142019411841,0.8362196629869244,0.06814619638696015,0.36188928520875097
7.375,73.75,0.7359435385952527,0.2782051896387168,0.2716189214570509,0.9803921568627446,0.9511065133754455,0.5569173683112371,0.7843986329609037,0.8365858682450426,0.06973605884370124,0.3701917141209991,0.9803921568627451,0.9511065127273944,0.5523115960410298,0.7815138662452995,0.8358748354126369,0.06974800688311261,0.37024808489530864
7.5,75.0,0.7280456099810737,0.28106414262033735,0.2778409362119196,0.9803921568627446,0.9511065121731015,0.54799367663469,0.781578504249116,0.8361958591573415,0.07133678818360628,0.378535840157914,0.9803921568627451,0.9511065127273944,0.5443377298416437,0.7788255110131578,0.8354902222034573,0.07134729293521079,0.3785846069850582
7.625,76.25,0.7283034478362646,0.2839394845764309,0.28404568042981554,0.9803921568627446,0.951106513190266,0.5391509151688613,0.7786803547734976,0.8357658714269239,0.07293491266816403,0.3868569556667534,0.9803921568627451,0.9511065127273944,0.5364779253998847,0.7760802542201902,0.835068970112794,0.07294399004157913,0.38689822196526774
7.75,77.5,0.7277518455512193,0.286839990633829,0.2902325525366567,0.9803921568627446,0.9511065123530051,0.5304045920463123,0.7757070155857437,0.8352984102519603,0.07453036673033656,0.3951544148491998,0.9803921568627451,0.9511065127273944,0.5287428853423888,0.7732814583562505,0.8346138323571075,0.07453803958923032,0.3951883206827509
7.875,78.75,0.7244477511504241,0.28977379960240096,0.2964009810240522,0.9803921568627446,0.9511065130162337,0.5217693977336373,0.7726614805788568,0.8347956489081001,0.07612308946138553,0.4034275859878506,0.9803921568627452,0.9511065127273944,0.5211423784544502,0.7704325491481244,0.8341272289666034,0.0761293881156037,0.40345431039123697
8.0,80.0,0.7161384010632716,0.29274840667456886,0.3025504205898231,0.9803921568627447,0.9511065125207186,0.5132591413848125,0.7695469119776415,0.8342594824286651,0.07771302399145692,0.41167584814231795,0.9803921568627452,0.9511065127273944,0.51368523179748,0.7675370142744679,0.8336112986092558,0.07771798668431225,0.411695611382518
8.125,81.25,0.7186895617000378,0.2957706654967135,0.3086803486964846,0.9803921568627447,0.9511065128553156,0.5048866960656481,0.7663666425155217,0.8336915739029331,0.07930011697171857,0.4198985883637022,0.9803921568627452,0.9511065127273944,0.5063793311541269,0.7645983998826862,0.8330679430368562,0.0793037903587139,0.4199116541144151
8.25,82.5,0.7217951801043501,0.2988467919488045,0.31479026249833725,0.9803921568627447,0.9511065126745443,0.49666395507187233,0.7631241745269612,0.8330933943771665,0.08088431814402826,0.42809519935204976,0.9803921568627451,0.9511065127273944,0.4992316294110552,0.7616203052254147,0.8324988651510371,0.08088675775931098,0.428101876760429
8.375,83.75,0.7220774605086024,0.3019823750413561,0.32087967609337936,0.9803921568627447,0.9511065127087885,0.4886017987448674,0.75982317621826,0.8324662572102723,0.08246557998598189,0.43626507749149057,0.9803921568627452,0.9511065127273944,0.49224816236135766,0.7586063757151653,0.8319056015548604,0.08246685069287805,0.43626572311616907
8.5,85.0,0.7321170311598562,0.3051823907632633,0.3269481180612175,0.9803921568627447,0.9511065128137769,0.4807100727224638,0.7564674753688451,0.8318113476206329,0.08404385742080829,0.4444076212064572,0.9803921568627452,0.9511065127273964,0.4854340713013164,0.7555602946777462,0.8312895503398553,0.08404403384286618,0.44440264080652925
8.625,86.25,0.7271802833445834,0.3084512205410884,0.33299512925255975,0.9803921568627447,0.9511065125767795,0.47299757718461294,0.7530610507356377,0.8311297480603365,0.08561910758297683,0.4525222295898992,0.9803921568627451,0.9511065127273951,0.4787936317117241,0.7524857740675805,0.8306519947575937,0.08561827451205364,0.4525120797452244
8.75,87.5,0.7353770054838875,0.31179267334098215,0.3390202607997808,0.9803921568627447,0.9511065129387449,0.46547206686839515,0.7496080214349867,0.830422459966422,0.08719128963159062,0.460608301260882,0.9803921568627451,0.951106512727396,0.47233028725299203,0.7493865443905351,0.8299941233373319,0.08718954240964828,0.46059349080492895
8.875,88.75,0.7288504128143887,0.3152100097547414,0.34502307232149143,0.9803921568627447,0.9511065124586041,0.45814026152477566,0.7461126345801554,0.8296904223640423,0.08876036460468198,0.4686652334145466,0.9803921568627452,0.951106512727396,0.4660466882658977,0.7462663440620457,0.8293170469353467,0.08875780947610966,0.46864632466195577
9.0,90.0,0.7282256180658851,0.3187059700166228,0.35100313029709446,0.9803921568627447,0.9511065130506047,0.451007865615751,0.7425792514608106,0.8289345277320608,0.09032629530842838,0.47669242103222653,0.9803921568627452,0.9511065127273951,0.4599447339547962,0.7431289084100492,0.8286218131359127,0.0903230497398841,0.4766700307843609
9.125,91.25,0.7326587216754136,0.32228280139841936,0.3569600065899723,0.9803921568627447,0.9511065123525294,0.44407959706080874,0.7390123325357632,0.8281556354864216,0.09188904623608687,0.48468925622367864,0.9803921568627452,0.9511065127273932,0.4540256174358759,0.7399779585135187,0.8279094183670921,0.0918852392010399,0.48466405653660016
9.25,92.5,0.7354436601965306,0.3259422895886938,0.3628932771003058,0.9803921568627447,0.9511065131514876,0.4373592230805838,0.7354164215215974,0.8273545833889638,0.09344858351211995,0.492655127676983,0.9803921568627452,0.9511065127273934,0.4482898728572897,0.7368171900482953,0.8271808180454658,0.09344435573748096,0.4926278463775483
9.375,93.75,0.7269571115780967,0.3296857869996438,0.36880252053058654,0.9803921568627447,0.9511065122561163,0.4308496031501054,0.7317961288263303,0.8265321971486982,0.09500487485757104,0.5005894201947799,0.9803921568627451,0.9511065127273942,0.44273742383773995,0.7336502622926655,0.8264369350215875,0.09500037903001234,0.5005608411318582
9.5,95.0,0.731812367872166,0.33351424504483024,0.3746873172486958,0.9803921568627447,0.9511065132443332,0.4245527365899785,0.7281561145902403,0.8256892984471866,0.09655788957325528,0.5084915142982092,0.9803921568627451,0.9511065127273942,0.437367632522765,0.7304807874258797,0.8256786665613817,0.09655329050304723,0.5084624773173835
9.625,96.25,0.7231834458597277,0.33742824115399395,0.3805472482350148,0.9803921568627446,0.9511065121658654,0.41846981509498765,0.724501071546378,0.8248267115896172,0.09810759853777229,0.5163607858822574,0.9803921568627451,0.9511065127273943,0.43217934862028046,0.7273123202338393,0.8249068900671304,0.09810307327819072,0.5163321865137542
